"","fL","usekernel","adjust","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.05,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"2",0.05,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"3",0.05,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"4",0.05,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"5",0.05,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"6",0.05,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"7",0.05,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"8",0.05,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"9",0.05,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"10",0.05,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"11",0.05,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"12",0.05,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"13",0.1,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"14",0.1,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"15",0.1,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"16",0.1,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"17",0.1,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"18",0.1,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"19",0.1,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"20",0.1,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"21",0.1,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"22",0.1,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"23",0.1,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"24",0.1,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"25",0.15,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"26",0.15,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"27",0.15,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"28",0.15,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"29",0.15,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"30",0.15,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"31",0.15,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"32",0.15,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"33",0.15,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"34",0.15,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"35",0.15,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"36",0.15,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
