"","adrenocortical","cabeza cuello","cerebro","cervical","colangiocarcinoma","colon","esófago","estómago","hígado","leucemia","linfoma células B","mama","mesotelioma","ovario","páncreas","paraganglioma","piel","próstata","pulmón","riñón","sarcoma","testículos","timoma","tiroides","útero","úvea","vejiga","MeanDecreaseAccuracy","MeanDecreaseGini"
"ENSG00000134757",0.000489185417756846,0.0149733262768977,0.000204081632653061,0.00262315462315462,0.00150254110968397,0.000353894121751265,0.00422564935064935,0.000135912698412698,0.000848974438260152,0.000513038548752834,0.00162307533736105,0.00148580982509554,0.000348891918440791,0.00128306019377448,0.0016072459286745,0.000447781385281385,0.00155438410795554,0.00104558140272426,-3.03724053724054e-05,0.00096029169243455,0.000230838605838606,0.00102328425542711,0.00109363255791827,0.00115284248897694,0.000791932274075131,0.0016717389753104,-0.000774521113806828,0.00146935846069731,0.928895948384452
"ENSG00000072041",0.00150275518132661,0.00160190206618778,0.000907729758570095,-0.000205825920111634,0.00084297052154195,0.000634972170686456,0.000675211693068836,0.000375832500832501,0.000493522350665208,0.00171194876552019,0.00116377075305647,0.00112958965637537,0.000515262515262515,2.51831501831502e-05,0.000462018140589569,0.000432496075353218,0.00519176260247689,7.14285714285714e-05,-0.000224211596060336,0.000133005883005883,0.000308905380333952,0.000707792207792208,0.000215728715728716,0.000635495456924028,0.000234126984126984,0.00801277095919953,0.00131102131994989,0.00104943621830412,0.7162573500186
"ENSG00000086548",0.00250989941431118,0.00319982002124859,0.00230364873222016,0.0012768759018759,0.00277945169909456,0.00780769329876473,0.00129190452404738,0.00345733334126191,0.00254759246355885,0.000342326324469182,0.00230879239807811,0.00034291968535666,0.00448168696382982,0.00223447485054628,0.00785275637061351,0.00209101216244073,0.00110399579412184,0.0017636272457701,0.00924603856694193,0.00455501046572475,0.00173497732426304,0.00281519938977922,0.00533428079856651,0.00215921578421578,0.00221346114203257,0.000798992673992674,-0.00109217469038898,0.00284957459677584,1.10357180013153
"ENSG00000169469",0.000498376623376623,0.00830047135404278,0.000516206482593037,0.0010207104403533,0.000325706039991754,0.000254792826221398,0.00130512741227027,5.90005232862375e-05,0.000510382474668189,0.000396825396825397,0.00159003298289013,0.000148809523809524,0.000249123891981035,0.000656579531579531,0.00111421911421911,7.93650793650794e-05,0.00186466241508258,0.000507042560613989,-0.000522065236350951,0.000389880952380952,0.000387806637806638,0.000701229326229326,0.000364577882435025,0.000625425170068027,0.000445818070818071,0.00108039579468151,0.000350357975357975,0.000846115049089994,0.748406134473902
"ENSG00000186115",0.000283163265306122,0.000246864246864247,0.000825525664811379,0.000268308080808081,0.0020609965431394,0.00166320385963243,5.41125541125584e-07,0.000136054421768707,0.0238810757403194,0.000326839826839827,0.000943514818514819,0.000295874760160474,0.000755153576582148,0.000478148835291692,0.000194062881562882,0.000975464020106877,0.000119047619047619,0.000434953934953935,0.000739589775304061,0.000292277167277167,0.000856369820655535,0.00080386805071679,0.000722160775732204,0.000883176347462062,7.31807874665018e-05,0.00124903370439085,0.000356601731601732,0.00138002535283387,1.15871690036712
"ENSG00000178363",0.0013987123987124,0.00581939092653378,0.000523039052450817,0.00223756699649557,0.00132786063143206,0.00123699514770943,0.00111879786879787,0.00101829519686663,0.000725961538461538,0.00115873015873016,0.00227293936222508,0.000822653536939251,0.000756003916718202,0.00106118881118881,0.0013978798978799,0.000770408163265306,0.000894609358895073,0.000819339390767962,8.62166544939654e-05,0.00124859069501927,0.000856470910042339,0.000913371350871351,0.018406776754991,0.00134249480678052,0.000902999777999778,0.00100569470212327,1.54012654012652e-06,0.00185789240588159,0.991279343357484
"ENSG00000167656",0.00322724695938982,0.00281447917162203,0.000233516483516484,0.0024143426018426,0.00120458707958708,0.000795377241805813,0.00123334998334998,0.000294622044622045,0.000642290249433107,0.000552590266875981,0.00130742670028384,0.000881132756132756,0.000628145955351838,0.000973639455782313,0.000702737738452024,0.000229458041958042,0.00139464037363197,0.000351924860853432,-5.25426953998382e-05,0.000815192743764172,0.000890099979385694,0.000813791367362796,0.00076948051948052,0.000714327339327339,0.000354187479187479,0.00216065085707943,0.00343108677037248,0.00109678459611592,0.726429692089926
"ENSG00000171345",0.0103717106306392,0.000944325515754087,0.0086073470180613,0.00281013232798947,0.00211448472162758,0.00224051147265433,0.000557114512471655,0.00160861955504813,0.00666126333983477,0.0116666726131012,0.0134284961070675,0.00287298019440877,0.00967173104673104,0.00289882240775098,0.00230669330669331,0.00212952453708756,0.00854954301067746,0.00275412286126572,0.0024552900414245,0.000446075749647179,0.0125770271395271,0.00341585089746854,0.00760584257012828,0.00131663673627959,0.00198085248085248,0.0104797294209059,0.00350043111650255,0.00503132416856806,1.45700062376282
"ENSG00000206075",0.00155444555444555,0.0066289631820094,0.00227412270269413,0.00374223593866451,0.00146559392987964,0.00207301626944484,0.00400913075020218,0.00332303807303807,0.00290483524412096,0.00232522239665097,0.00291890649033506,0.000893586572158001,0.00149464028035457,0.0023386088118231,0.005241816715031,0.00104242979242979,0.000622537185037185,0.000220779220779221,0.000291050219621648,0.00330810855810856,0.00157879818594104,0.000809622916765774,0.00624816453387882,0.0034810582741255,0.00130466557252272,0.00655912160901657,0.00166474200402772,0.00253029095971665,0.963104823964559
"ENSG00000128422",0.00204468150896722,0.00693939393939394,0.000568598068598069,0.0033506232176345,0.000430937118437118,0.00196145521145521,0.00183102809888524,0.00210449471163757,0.000972647392290249,0.000183982683982684,0.000694365158650873,0.000751682840968555,0.000447820037105751,0.00107346155245315,0.0061258225901083,0.000218253968253968,0.00126630908773766,0.000709278816421674,0.000239907618058879,0.000341695011337868,0.000388321995464853,0.00139050459774144,0.000618625422196851,0.0013664787593359,0.000992808778523064,0.00203249528249528,0.00283890316033173,0.00148694890867958,0.990506021628201
"ENSG00000019505",0.000981332276500344,0.000865646258503401,0.000944055944055944,0.000157957122242837,0.00174497526283241,0.000894042465471037,0.000235399521113807,0.000910132526203955,0.000883786848072562,0.000509637188208617,0.00110792778649922,0.000386054421768707,0.000783109747395462,0.000581918081918082,0.00324614671043242,0.000172161172161172,0.00166242814141974,0.000316326530612245,0.00018513431013431,0.001840046857904,0.00189443493014922,0.000459859584859585,0.00188069470212327,0.000948412698412698,0.000415318808175951,0.000127739324167896,0.00152009894867038,0.000912517978260587,0.623070956188792
"ENSG00000130294",0.000778228715728716,0.000673260971055089,0.00306666547737976,0.000855707784279213,0.000872508443937015,0.000641233766233766,-9.9067599067599e-05,-0.000380321067821068,0.000291666666666667,0.000408163265306122,0.000842828798185941,0.000242826617826618,0.000761672850958565,0.000265383426097712,0.00106252738489581,0.00677222678115535,0.00092101607542784,0.000657386264529122,0.000778051313765599,0.00102079864579865,1.50920508063365e-05,0.00098583559297845,0.000270923520923521,0.000591491841491841,0.00120361781076067,0.00454631776953205,0.000126787894645038,0.00103090391110005,0.754077135855378
"ENSG00000176153",0.00523984943627801,0.00129741756842597,0.00282600732600733,0.000315040002014792,0.00766896793682508,0.0100757080221366,0.00372200815057958,0.00712084431674768,0.00686197730840588,0.00294542560613989,0.00329311363239935,0.00461909122623408,0.00610349769278341,0.00777664200878486,0.00861778971495358,0.00121286649858078,0.00276140129711558,0.00343799909241086,-0.000163069773363891,0.00350109315287887,0.00379350411493269,0.00692250011892869,0.00355552780552781,0.00901170829637216,0.000289651816437531,0.004574568288854,0.00361623991088277,0.00447520223928878,1.40552298228856
"ENSG00000132437",0.000281539888682746,0.00391762928947803,0.00126338938838939,0.00351619412333698,0.00150495040673612,0.00899730329194615,0.00314718218289647,0.00281485111527128,0.00382307176950034,0.00109968602825746,0.00112174263644852,0.00256248711605855,0.00218215316429602,0.000768344750487608,0.00148868789940219,0.0151235966414538,0.000970258907758908,0.0011010440582809,0.00098992773099916,0.0073917649810507,0.000919457526600384,0.00163930910359482,0.00214128133770991,0.00281116106116106,0.000307697671143049,0.000745614504543076,0.00369222642436928,0.00279710906377042,1.56826902169782
