"","mtry","Accuracy","Kappa","AccuracySD","KappaSD","ntree"
"103",160,0.9416891556941,0.939408450315434,0.0218745244729564,0.0227326356487865,"1300"
"104",185,0.94343725525166,0.94122464580749,0.0227784216261263,0.0236707607876715,"1300"
"105",210,0.94124289245672,0.938943974725092,0.022414123138097,0.0232944970675978,"1300"
"106",235,0.940365699474264,0.938032423049226,0.0241452956493547,0.0250910326536382,"1300"
"107",260,0.942564333826107,0.940317831316467,0.0220604290555934,0.0229245785750009,"1300"
"108",285,0.940887362995928,0.938576780934444,0.0225810286648973,0.0234611784238377,"1300"
"109",10,0.949061911267124,0.947070032503813,0.0241272400968137,0.0250696112477438,"1400"
"110",35,0.945077868081927,0.942930773377817,0.0240454370491057,0.024984147861585,"1400"
"111",60,0.946045043484312,0.943936182989424,0.0207304626246278,0.0215377642011509,"1400"
"112",85,0.943387904478239,0.941173992803425,0.0228334215943155,0.0237244787407214,"1400"
"113",110,0.94205466780454,0.939787569487072,0.0221326756658877,0.0229976223536386,"1400"
"114",135,0.942073484270725,0.939807399270908,0.0204503314130334,0.0212473977795645,"1400"
"115",160,0.941657774105015,0.93937550632498,0.0249725228946042,0.0259443951444198,"1400"
"116",185,0.940744196143492,0.938427470484431,0.0231801602551848,0.0240817370777523,"1400"
"117",210,0.939480467322445,0.937114048043478,0.0246289822963755,0.0255874837403288,"1400"
"118",235,0.942043172001428,0.939776526254734,0.0239832878182583,0.024916358420101,"1400"
"119",260,0.93946064006199,0.937093964380871,0.0259947337377984,0.0270049114652239,"1400"
"120",285,0.940768062767935,0.938451708384193,0.0228861829302592,0.0237763733667481,"1400"
"121",10,0.946504878100444,0.944409620887457,0.0230407187169632,0.0239420860814456,"1500"
"122",35,0.942917874869606,0.940682986944502,0.0255994829679399,0.0266018725486432,"1500"
"123",60,0.942969917026911,0.940737052932122,0.0242894038978136,0.0252389609145655,"1500"
"124",85,0.943385863949187,0.941168569078025,0.0244082735325065,0.0253621981058028,"1500"
"125",110,0.943894259047143,0.94170000230951,0.0225185673936562,0.0233936582853177,"1500"
"126",135,0.942168815216436,0.939908606773299,0.0233889739719801,0.0242964659166691,"1500"
"127",160,0.943074664722863,0.940848827364247,0.0223844306539619,0.0232545491369944,"1500"
"128",185,0.939980166975157,0.937633210264066,0.0230821984344267,0.0239801282392147,"1500"
"129",210,0.939118687670995,0.936738145690012,0.0251557091235243,0.0261342986102889,"1500"
"130",235,0.938616474515574,0.936216719760722,0.0217879789460376,0.0226338431961195,"1500"
"131",260,0.939575320063981,0.937212916861861,0.0225516321238583,0.023426367023885,"1500"
"132",285,0.937329025122861,0.93487794991709,0.0235603769369544,0.0244765207068417,"1500"
